amount,asset_id,atomicity_violation_flag,buyer,cash_amt,cash_ccy,ccy,ccy1,ccy2,coll_lock_amt,coll_lock_dur,exc_count,fee_total,flow,fx_flag,hold_time,holds_count,juris_dst,juris_src,latency,liq_lock_amt,liq_lock_dur,manual_review_flag,msg_quality,n_checkpoints,notional,partyA,partyB,price,qty,queue_time,rate,reason,receiver,repair_due_to_missing_data_flag,retry_count,rework_time,scenario,seed,seller,sender,status,stp_flag,t_fail,t_final,t_init,trace_pack_completeness,trace_pack_handoff_consistency,trace_pack_standardization,trace_pack_world_hint,trace_score,tx_id,urgency,world
,,False,,,,,USD,EUR,0.0,0.0,0,1.0,PVP,,0.0,0,,,11.886506416094072,0.0,0.0,False,0.9172821967647619,6,772.3325938076277,A009,A006,,,0.0,1.0043005048998368,,,False,0,0.0,S0,11,,,SETTLED,True,,55.46941929816422,43.58291288207015,0.9823567235328061,0.8553843494515977,0.8503719343137935,shared,0.9045354801655443,S0-PVP-00000055,,A
,ASSET1,False,A012,567.0518849422411,USD,,,,0.0,0.0,0,1.0,DVP,1,0.0,0,,,9.704189116000265,0.0,0.0,False,0.7965159605758976,6,,,,65.24256462190452,8.691440752343743,0.0,,,,False,0,0.0,S0,11,A016,,SETTLED,True,,56.25195321804922,46.54776410204896,0.721541066001867,0.7593225393852006,0.6984572219379105,shared,0.7544705496953547,S0-DVP-00000089,,A
,ASSET1,False,A001,1020.9477381248266,USD,,,,0.0,0.0,0,1.0,DVP,0,0.0,0,,,10.761022423190497,0.0,0.0,False,0.8927115597943045,6,,,,100.31977273452355,10.176934320082273,0.0,,,,False,0,0.0,S0,11,A015,,SETTLED,True,,56.95426319782869,46.19324077463819,0.9276598510123105,0.9875003307962679,0.9847055071771484,shared,0.9370577617148672,S0-DVP-00000088,,A
,ASSET1,False,A000,948.9639732807644,USD,,,,0.0,0.0,0,1.0,DVP,0,0.0,0,,,15.251126844868558,0.0,0.0,False,0.8802114357000428,6,,,,103.5121839646067,9.16765482994,0.0,,,,False,0,0.0,S0,11,A012,,SETTLED,True,,58.533016845494465,43.28189000062591,0.7931396372431778,0.8893898073008998,0.8834107813919369,shared,0.86527261946722,S0-DVP-00000087,,A
1225.7021826440362,,False,,,,EUR,,,0.0,0.0,0,1.0,XBPAY,1,0.0,0,J01,J00,5.1314171341919845,0.0,0.0,False,0.866719133460168,6,,,,,,2.5,,,A007,False,0,0.0,S0,11,,A008,SETTLED,True,,58.88678998701445,53.75537285282247,0.9008073459708551,0.9744481522171238,0.8770907161383978,shared,0.8971568962493427,S0-XBPAY-00000017,1,A
,ASSET1,False,A007,1333.548418305093,EUR,,,,0.0,0.0,0,1.0,DVP,0,0.0,0,,,6.083012632363896,0.0,0.0,False,0.7478840801836746,6,,,,92.80704466568233,14.369043030180716,0.0,,,,False,0,0.0,S0,11,A012,,SETTLED,True,,59.09786950735677,53.01485687499287,0.6888694313732069,0.7991118857425812,0.7280807254544626,shared,0.74236604058752,S0-DVP-00000091,,A
1663.95341800551,,False,,,,USD,,,0.0,0.0,0,1.0,XBPAY,1,0.0,0,J02,J01,9.013043830079958,0.0,0.0,False,0.8357360431273435,6,,,,,,2.5,,,A014,False,0,0.0,S0,11,,A007,SETTLED,True,,60.15363410478824,51.14059027470828,0.8789746698219003,0.9183034227770149,0.8559765990056761,shared,0.8649453555718557,S0-XBPAY-00000013,2,A
130.79331728360626,,False,,,,EUR,,,0.0,0.0,0,1.0,XBPAY,0,0.0,0,J00,J01,13.64574693022125,0.0,0.0,False,0.9138172654957424,6,,,,,,2.5,,,A000,False,0,0.0,S0,11,,A007,SETTLED,True,,60.190058601162605,46.544311670941354,0.9467558843418094,0.8142908928020333,0.946280191373214,shared,0.9069922999017083,S0-XBPAY-00000009,2,A
918.04420321319,,False,,,,USD,,,0.0,0.0,0,1.0,XBPAY,0,0.0,0,J02,J01,5.715216439494839,0.0,0.0,False,0.7496744803819062,6,,,,,,2.5,,,A015,False,0,0.0,S0,11,,A007,SETTLED,True,,60.90203472728459,55.18681828778975,0.7370403694988416,0.7962835272667487,0.8266370071596993,shared,0.7718619729378204,S0-XBPAY-00000018,0,A
817.3714445252549,,False,,,,USD,,,0.0,0.0,0,1.0,XBPAY,1,0.0,0,J00,J02,11.204239148451109,0.0,0.0,False,0.8282907112789413,6,,,,,,2.5,,,A008,False,0,0.0,S0,11,,A009,SETTLED,True,,63.49966477732834,52.29542562887723,0.8022441033963671,0.9275345572388736,0.7721597645855189,shared,0.8317039695557285,S0-XBPAY-00000014,1,A
1134.7170241137205,,False,,,,EUR,,,0.0,0.0,1,1.0,XBPAY,1,0.0,0,J02,J02,10.407315435874345,0.0,0.0,True,0.6996042900486787,6,,,,,,2.5,,,A014,True,0,1.2809548705196363,S0,11,,A009,SETTLED,False,,63.877172829448845,53.4698573935745,0.7022384309919801,0.6852447066838148,0.6665331982888012,shared,0.6906449832123908,S0-XBPAY-00000015,0,A
